Frequency (MHz);Power (dBm)
6,59E+02;-66,4256
6,59E+02;-66,6514
6,60E+02;-66,8177
6,60E+02;-66,756
6,61E+02;-66,511
6,62E+02;-66,4921
6,62E+02;-66,5643
6,63E+02;-66,6773
6,63E+02;-67,0686
6,64E+02;-66,6839
6,65E+02;-66,3902
6,65E+02;-66,6022
6,66E+02;-66,7376
6,67E+02;-66,8866
6,67E+02;-66,5784
6,68E+02;-66,6446
6,68E+02;-66,4445
6,69E+02;-66,5542
6,70E+02;-66,5961
6,70E+02;-66,501
6,71E+02;-66,8732
6,71E+02;-66,6756
6,72E+02;-66,3882
6,73E+02;-66,7843
6,73E+02;-66,564
6,74E+02;-66,5843
6,74E+02;-66,7976
6,75E+02;-66,7495
6,76E+02;-66,5708
6,76E+02;-66,7929
6,77E+02;-67,0386
6,77E+02;-67,0072
6,78E+02;-66,7612
6,79E+02;-66,8266
6,79E+02;-66,72
6,80E+02;-66,8845
6,81E+02;-66,7014
6,81E+02;-66,6737
6,82E+02;-66,783
6,82E+02;-66,8747
6,83E+02;-66,6553
6,84E+02;-66,6788
6,84E+02;-66,4349
6,85E+02;-66,6894
6,85E+02;-66,8438
6,86E+02;-66,857
6,87E+02;-66,8584
6,87E+02;-66,8816
6,88E+02;-66,9616
6,88E+02;-66,8483
6,89E+02;-66,8108
6,90E+02;-67,0765
6,90E+02;-66,6504
6,91E+02;-66,6643
6,92E+02;-67,0073
6,92E+02;-66,9913
6,93E+02;-66,7123
6,93E+02;-66,7947
6,94E+02;-66,651
6,95E+02;-66,5589
6,95E+02;-66,8297
6,96E+02;-67,0364
6,96E+02;-67,2029
6,97E+02;-67,0693
6,98E+02;-66,7345
6,98E+02;-66,7
6,99E+02;-66,5351
6,99E+02;-66,5298
7,00E+02;-66,9917
7,01E+02;-66,5505
7,01E+02;-66,6911
7,02E+02;-66,632
7,03E+02;-66,8724
7,03E+02;-66,4354
7,04E+02;-66,3748
7,04E+02;-66,8754
7,05E+02;-67,2132
7,06E+02;-67,0916
7,06E+02;-66,5375
7,07E+02;-66,5977
7,07E+02;-66,8599
7,08E+02;-66,8442
7,09E+02;-66,7428
7,09E+02;-66,5635
7,10E+02;-66,6608
7,10E+02;-66,9385
7,11E+02;-66,9003
7,12E+02;-66,9951
7,12E+02;-66,9116
7,13E+02;-66,8292
7,14E+02;-66,7162
7,14E+02;-66,7203
7,15E+02;-66,8678
7,15E+02;-66,6739
7,16E+02;-66,6382
7,17E+02;-66,7145
7,17E+02;-66,5836
7,18E+02;-66,6376
7,18E+02;-66,7076
7,19E+02;-66,7104
7,20E+02;-66,804
7,20E+02;-66,7427
7,21E+02;-66,8814
7,21E+02;-66,7714
7,22E+02;-66,2399
7,23E+02;-66,579
7,23E+02;-67,2287
7,24E+02;-66,7267
7,24E+02;-66,3377
7,25E+02;-66,5421
7,26E+02;-66,6147
7,26E+02;-66,5561
7,27E+02;-66,6175
7,28E+02;-67,0737
7,28E+02;-66,7935
7,29E+02;-66,7423
7,29E+02;-66,9101
7,30E+02;-66,8971
7,31E+02;-66,8293
7,31E+02;-66,7255
7,32E+02;-66,9154
7,32E+02;-66,7387
7,33E+02;-66,6601
7,34E+02;-66,6854
7,34E+02;-67,0973
7,35E+02;-67,174
7,35E+02;-67,0557
7,36E+02;-66,8247
7,37E+02;-66,7685
7,37E+02;-66,9815
7,38E+02;-66,6466
7,39E+02;-66,8986
7,39E+02;-66,8563
7,40E+02;-66,7998
7,40E+02;-66,8686
7,41E+02;-67,1406
7,42E+02;-67,1234
7,42E+02;-67,2496
7,43E+02;-67,2177
7,43E+02;-67,1082
7,44E+02;-66,8682
7,45E+02;-66,9006
7,45E+02;-67,2094
7,46E+02;-67,3072
7,46E+02;-67,283
7,47E+02;-67,4839
7,48E+02;-67,4904
7,48E+02;-67,7672
7,49E+02;-67,5903
7,50E+02;-67,3367
7,50E+02;-67,2331
7,51E+02;-67,6382
7,51E+02;-67,7899
7,52E+02;-67,9435
7,53E+02;-67,8595
7,53E+02;-67,7505
7,54E+02;-67,4073
7,54E+02;-67,8377
7,55E+02;-68,209
7,56E+02;-67,8438
7,56E+02;-67,5938
7,57E+02;-67,7097
7,57E+02;-68,1197
7,58E+02;-68,2939
7,59E+02;-68,3717
7,59E+02;-68,4165
7,60E+02;-68,4846
7,60E+02;-68,1662
7,61E+02;-68,1531
7,62E+02;-68,2093
7,62E+02;-68,0822
7,63E+02;-67,9359
7,64E+02;-68,6604
7,64E+02;-68,8714
7,65E+02;-68,4614
7,65E+02;-68,4037
7,66E+02;-68,503
7,67E+02;-68,9882
7,67E+02;-69,05
7,68E+02;-69,022
7,68E+02;-68,8033
7,69E+02;-68,829
7,70E+02;-69,0295
7,70E+02;-68,927
7,71E+02;-68,9688
7,71E+02;-69,1366
7,72E+02;-69,279
7,73E+02;-69,3489
7,73E+02;-69,182
7,74E+02;-69,3421
7,75E+02;-69,2821
7,75E+02;-69,142
7,76E+02;-69,4546
7,76E+02;-69,9763
7,77E+02;-69,5964
7,78E+02;-69,3025
7,78E+02;-69,5838
7,79E+02;-69,3906
7,79E+02;-69,5032
7,80E+02;-69,453
7,81E+02;-69,7141
7,81E+02;-70,0315
7,82E+02;-69,9234
7,82E+02;-70,0331
7,83E+02;-70,3077
7,84E+02;-70,1329
7,84E+02;-70,3342
7,85E+02;-70,1453
7,86E+02;-70,0969
7,86E+02;-70,4772
7,87E+02;-70,4313
7,87E+02;-70,3825
7,88E+02;-70,7376
7,89E+02;-70,7508
7,89E+02;-70,6232
7,90E+02;-70,7641
7,90E+02;-70,6345
7,91E+02;-70,9695
7,92E+02;-71,2246
7,92E+02;-70,8041
7,93E+02;-70,7262
7,93E+02;-70,8021
7,94E+02;-70,9963
7,95E+02;-70,8884
7,95E+02;-70,7701
7,96E+02;-70,9388
7,97E+02;-71,3093
7,97E+02;-71,3204
7,98E+02;-71,4873
7,98E+02;-71,7696
7,99E+02;-71,5102
8,00E+02;-71,6273
8,00E+02;-71,4754
8,01E+02;-71,2905
8,01E+02;-71,3457
8,02E+02;-71,2074
8,03E+02;-71,2358
8,03E+02;-71,5323
8,04E+02;-71,5431
8,04E+02;-71,8489
8,05E+02;-72,1741
8,06E+02;-71,9201
8,06E+02;-71,8521
8,07E+02;-72,0717
8,07E+02;-71,7538
8,08E+02;-71,5419
8,09E+02;-71,9269
8,09E+02;-72,2599
8,10E+02;-71,822
8,11E+02;-72,2469
8,11E+02;-71,9657
8,12E+02;-71,7996
8,12E+02;-72,2215
8,13E+02;-72,5352
8,14E+02;-72,4277
8,14E+02;-72,3356
8,15E+02;-72,4688
8,15E+02;-72,3767
8,16E+02;-72,3519
8,17E+02;-72,4824
8,17E+02;-72,5777
8,18E+02;-72,5888
8,18E+02;-72,6734
8,19E+02;-72,7963
8,20E+02;-72,8761
8,20E+02;-72,7945
8,21E+02;-72,8785
8,22E+02;-73,0416
8,22E+02;-73,0644
8,23E+02;-72,9829
8,23E+02;-72,8805
8,24E+02;-72,8917
8,25E+02;-73,1525
8,25E+02;-73,3084
8,26E+02;-73,2501
8,26E+02;-72,8596
8,27E+02;-73,1468
8,28E+02;-73,257
8,28E+02;-73,1879
8,29E+02;-73,4512
8,29E+02;-73,3886
8,30E+02;-73,3893
8,31E+02;-73,5419
8,31E+02;-73,4633
8,32E+02;-73,4055
8,33E+02;-72,9548
8,33E+02;-73,2809
8,34E+02;-73,6153
8,34E+02;-73,5624
8,35E+02;-73,6443
8,36E+02;-73,7572
8,36E+02;-73,6629
8,37E+02;-73,5162
8,37E+02;-73,479
8,38E+02;-73,4453
8,39E+02;-73,7505
8,39E+02;-73,8354
8,40E+02;-73,8317
8,40E+02;-74,1385
8,41E+02;-74,0128
8,42E+02;-73,9853
8,42E+02;-74,297
8,43E+02;-73,983
8,44E+02;-73,6369
8,44E+02;-73,8882
8,45E+02;-74,062
8,45E+02;-73,9381
8,46E+02;-74,1001
8,47E+02;-74,0231
8,47E+02;-74,0986
8,48E+02;-74,2329
8,48E+02;-73,9584
8,49E+02;-74,0548
8,50E+02;-74,1939
8,50E+02;-74,2792
8,51E+02;-74,4967
8,51E+02;-74,251
8,52E+02;-74,4087
8,53E+02;-74,0913
8,53E+02;-74,1956
8,54E+02;-74,1653
8,54E+02;-74,2476
8,55E+02;-74,7369
8,56E+02;-74,7674
8,56E+02;-74,4914
8,57E+02;-74,5757
8,58E+02;-74,793
8,58E+02;-74,5246
8,59E+02;-74,3537
8,59E+02;-74,5758
8,60E+02;-74,7759
8,61E+02;-74,455
8,61E+02;-74,3877
8,62E+02;-74,3581
8,62E+02;-74,4369
8,63E+02;-74,266
8,64E+02;-74,343
8,64E+02;-74,7293
8,65E+02;-75,006
8,65E+02;-74,7487
8,66E+02;-74,781
8,67E+02;-74,8187
8,67E+02;-74,7534
8,68E+02;-74,9099
8,69E+02;-74,739
8,69E+02;-74,7281
8,70E+02;-74,8698
8,70E+02;-74,8719
8,71E+02;-74,6909
8,72E+02;-74,749
8,72E+02;-74,6117
8,73E+02;-74,5699
8,73E+02;-74,8487
8,74E+02;-74,8535
8,75E+02;-74,9595
8,75E+02;-75,073
8,76E+02;-75,1286
8,76E+02;-74,9863
8,77E+02;-74,8672
8,78E+02;-74,8928
8,78E+02;-75,2262
8,79E+02;-74,7936
8,80E+02;-75,1508
8,80E+02;-74,7637
8,81E+02;-74,8193
8,81E+02;-75,3132
8,82E+02;-75,2674
8,83E+02;-75,2011
8,83E+02;-75,2474
8,84E+02;-74,9052
8,84E+02;-74,9158
8,85E+02;-74,8703
8,86E+02;-75,1204
8,86E+02;-75,1127
8,87E+02;-75,2162
8,87E+02;-75,0971
8,88E+02;-75,3207
8,89E+02;-75,2894
8,89E+02;-75,227
8,90E+02;-75,4432
8,91E+02;-75,1678
8,91E+02;-75,301
8,92E+02;-75,4042
8,92E+02;-75,2132
8,93E+02;-75,6917
8,94E+02;-75,6562
8,94E+02;-75,3954
8,95E+02;-75,48
8,95E+02;-75,4913
8,96E+02;-75,3985
8,97E+02;-75,4691
8,97E+02;-75,2293
8,98E+02;-75,6547
8,98E+02;-75,5081
8,99E+02;-75,3592
9,00E+02;-75,2036
9,00E+02;-75,488
9,01E+02;-75,5138
9,01E+02;-75,3605
9,02E+02;-75,1324
9,03E+02;-74,981
9,03E+02;-75,5278
9,04E+02;-75,489
9,05E+02;-75,5638
9,05E+02;-75,4799
9,06E+02;-75,5336
9,06E+02;-75,5381
9,07E+02;-75,6095
9,08E+02;-75,7909
9,08E+02;-75,6458
9,09E+02;-75,5797
9,09E+02;-75,4205
9,10E+02;-75,5572
9,11E+02;-75,8941
9,11E+02;-75,6237
9,12E+02;-75,501
9,12E+02;-75,4425
9,13E+02;-75,692
9,14E+02;-75,5581
9,14E+02;-75,5411
9,15E+02;-75,6546
9,16E+02;-75,7495
9,16E+02;-75,7816
9,17E+02;-75,601
9,17E+02;-75,5581
9,18E+02;-75,4996
9,19E+02;-75,7545
9,19E+02;-75,9302
9,20E+02;-75,7886
9,20E+02;-75,957
9,21E+02;-76,1495
9,22E+02;-75,7954
9,22E+02;-75,924
9,23E+02;-75,9794
9,23E+02;-75,7669
9,24E+02;-76,0338
9,25E+02;-76,0362
9,25E+02;-75,8967
9,26E+02;-76,1508
9,27E+02;-76,2591
9,27E+02;-75,9335
9,28E+02;-75,8352
9,28E+02;-76,2087
9,29E+02;-76,0651
9,30E+02;-76,1241
9,30E+02;-76,1858
9,31E+02;-76,1789
9,31E+02;-76,1204
9,32E+02;-76,2551
9,33E+02;-75,9636
9,33E+02;-76,0306
9,34E+02;-76,3393
9,34E+02;-76,0483
9,35E+02;-76,2576
9,36E+02;-76,2697
9,36E+02;-76,3502
9,37E+02;-76,4601
9,38E+02;-76,1965
9,38E+02;-76,4271
9,39E+02;-76,6547
9,39E+02;-76,7326
9,40E+02;-76,529
9,41E+02;-76,4352
9,41E+02;-76,532
9,42E+02;-76,5023
9,42E+02;-76,5593
9,43E+02;-76,5847
9,44E+02;-76,5748
9,44E+02;-76,9925
9,45E+02;-76,6957
9,45E+02;-76,4252
9,46E+02;-76,5179
9,47E+02;-76,6418
9,47E+02;-76,621
9,48E+02;-76,6422
9,48E+02;-76,7734
9,49E+02;-76,8682
9,50E+02;-76,8647
9,50E+02;-76,6627
9,51E+02;-76,7586
9,52E+02;-76,9215
9,52E+02;-77,0506
9,53E+02;-77,0719
9,53E+02;-77,2181
9,54E+02;-76,7698
9,55E+02;-76,5486
9,55E+02;-76,7784
9,56E+02;-77,0552
9,56E+02;-77,2499
9,57E+02;-77,1726
9,58E+02;-77,1798
9,58E+02;-77,2591
9,59E+02;-77,4754
9,59E+02;-77,4687
9,60E+02;-77,0252
9,61E+02;-77,3067
9,61E+02;-77,4452
9,62E+02;-77,3179
9,63E+02;-77,4218
9,63E+02;-77,493
9,64E+02;-77,4506
9,64E+02;-77,2713
9,65E+02;-77,537
9,66E+02;-77,5086
9,66E+02;-77,5155
9,67E+02;-77,7501
9,67E+02;-77,501
9,68E+02;-77,4686
9,69E+02;-77,564
9,69E+02;-77,4832
9,70E+02;-77,7025
9,70E+02;-77,8652
9,71E+02;-77,8297
9,72E+02;-77,5917
9,72E+02;-77,932
9,73E+02;-78,2656
9,74E+02;-77,8137
9,74E+02;-77,4179
9,75E+02;-77,8686
9,75E+02;-77,7065
9,76E+02;-77,6131
9,77E+02;-78,0188
9,77E+02;-77,9898
9,78E+02;-78,1198
9,78E+02;-78,2064
9,79E+02;-78,2503
9,80E+02;-78,1825
9,80E+02;-78,491
9,81E+02;-78,0988
9,81E+02;-78,1475
9,82E+02;-78,1547
9,83E+02;-78,1721
9,83E+02;-78,5153
9,84E+02;-78,198
9,84E+02;-78,2831
9,85E+02;-78,437
9,86E+02;-78,1737
9,86E+02;-78,1034
9,87E+02;-78,3971
9,88E+02;-77,906
9,88E+02;-78,111
9,89E+02;-78,4476
9,89E+02;-78,2457
9,90E+02;-78,4509
9,91E+02;-78,7532
9,91E+02;-78,6584
9,92E+02;-78,9302
9,92E+02;-78,8942
9,93E+02;-78,6222
9,94E+02;-78,6292
9,94E+02;-78,553
9,95E+02;-78,8392
9,95E+02;-78,7901
9,96E+02;-78,7402
9,97E+02;-78,8818
9,97E+02;-78,8203
9,98E+02;-78,8508
9,99E+02;-79,195
9,99E+02;-79,0521
1,00E+03;-78,7603
1,00E+03;-79,0837
